COD_IBGE;UF;MUNICIPIO;POPULACAO;RANGE_POP;CAPITAL
3550308;SP;São Paulo;12396372;>1MM;1
3304557;RJ;Rio de Janeiro;6775561;>1MM;1
5300108;DF;Brasília;3094325;>1MM;1
2927408;BA;Salvador;2900319;>1MM;1
2304400;CE;Fortaleza;2703391;>1MM;1
3106200;MG;Belo Horizonte;2530701;>1MM;1
1302603;AM;Manaus;2255903;>1MM;1
4106902;PR;Curitiba;1963726;>1MM;1
2611606;PE;Recife;1661017;>1MM;1
5208707;GO;Goiânia;1555626;>1MM;1
1501402;PA;Belém;1506420;>1MM;1
4314902;RS;Porto Alegre;1492530;>1MM;1
3518800;SP;Guarulhos;1404694;>1MM;
3509502;SP;Campinas;1223237;>1MM;
2111300;MA;São Luís;1115932;>1MM;1
3304904;RJ;São Gonçalo;1098357;>1MM;
2704302;AL;Maceió;1031597;>1MM;1
3301702;RJ;Duque de Caxias;929449;>500k;
5002704;MS;Campo Grande;916001;>500k;1
2408102;RN;Natal;896708;>500k;1
2211001;PI;Teresina;871126;>500k;1
3548708;SP;São Bernardo do Campo;849874;>500k;
2507507;PB;João Pessoa;825796;>500k;1
3303500;RJ;Nova Iguaçu;825388;>500k;
3549904;SP;São José dos Campos;737310;>500k;
3547809;SP;Santo André;723889;>500k;
3543402;SP;Ribeirão Preto;720116;>500k;
2607901;PE;Jaboatão dos Guararapes;711330;>500k;
3170206;MG;Uberlândia;706597;>500k;
3534401;SP;Osasco;701428;>500k;
3552205;SP;Sorocaba;695328;>500k;
3118601;MG;Contagem;673849;>500k;
2800308;SE;Aracaju;672614;>500k;1
2910800;BA;Feira de Santana;624107;>500k;
5103403;MT;Cuiabá;623614;>500k;1
4209102;SC;Joinville;604708;>500k;
5201405;GO;Aparecida de Goiânia;601844;>500k;
4113700;PR;Londrina;580870;>500k;
3136702;MG;Juiz de Fora;577532;>500k;
1100205;RO;Porto Velho;548952;>500k;1
1500800;PA;Ananindeua;540410;>500k;
3205002;ES;Serra;536765;>500k;
4305108;RS;Caxias do Sul;523716;>500k;
1600303;AP;Macapá;522357;>500k;1
3303302;RJ;Niterói;516981;>500k;
4205407;SC;Florianópolis;516524;>500k;1
3300456;RJ;Belford Roxo;515239;>500k;
3301009;RJ;Campos dos Goytacazes;514643;>500k;
3205200;ES;Vila Velha;508655;>500k;
3529401;SP;Mauá;481725;>100k;
3305109;RJ;São João de Meriti;473385;>100k;
3549805;SP;São José do Rio Preto;469173;>100k;
3530607;SP;Mogi das Cruzes;455587;>100k;
3106705;MG;Betim;450024;>100k;
1400100;RR;Boa Vista;436591;>100k;1
4115200;PR;Maringá;436472;>100k;
3548500;SP;Santos;433991;>100k;
3513801;SP;Diadema;429550;>100k;
3525904;SP;Jundiaí;426935;>100k;
1200401;AC;Rio Branco;419452;>100k;1
3143302;MG;Montes Claros;417478;>100k;
2504009;PB;Campina Grande;413830;>100k;
3538709;SP;Piracicaba;410275;>100k;
3510609;SP;Carapicuíba;405375;>100k;
5201108;GO;Anápolis;396526;>100k;
2609600;PE;Olinda;393734;>100k;
3201308;ES;Cariacica;386495;>100k;
3506003;SP;Bauru;381706;>100k;
3523107;SP;Itaquaquecetuba;379082;>100k;
3551009;SP;São Vicente;370839;>100k;
3205309;ES;Vitória;369534;>100k;1
2604106;PE;Caruaru;369343;>100k;
2303709;CE;Caucaia;368918;>100k;
4202404;SC;Blumenau;366418;>100k;
2611101;PE;Petrolina;359372;>100k;
4119905;PR;Ponta Grossa;358838;>100k;
3516200;SP;Franca;358539;>100k;
4304606;RS;Canoas;349728;>100k;
4314407;RS;Pelotas;343826;>100k;
2933307;BA;Vitória da Conquista;343643;>100k;
3154606;MG;Ribeirão das Neves;341415;>100k;
3170107;MG;Uberaba;340277;>100k;
2610707;PE;Paulista;336919;>100k;
3541000;SP;Praia Grande;336454;>100k;
4104808;PR;Cascavel;336073;>100k;
4125506;PR;São José dos Pinhais;334620;>100k;
3518701;SP;Guarujá;324977;>100k;
